dp_Pa,U_alpha_1e-05,U_alpha_0.0001,U_alpha_0.001,U_alpha_0.003,U_alpha_0.01,U_alpha_0.03
5.468856075608e+02,1.424824967525e+03,1.039324256564e+03,4.363005126989e+02,2.595696253917e+02,1.441885109608e+02,8.435874026286e+01
5.607224094833e+02,1.424830395854e+03,1.039345323747e+03,4.363160841622e+02,2.595794425587e+02,1.441940807127e+02,8.436201889039e+01
5.749092975751e+02,1.424835960664e+03,1.039366921684e+03,4.363320486708e+02,2.595895075898e+02,1.441997911038e+02,8.436538030747e+01
5.894551293980e+02,1.424841665362e+03,1.039389063687e+03,4.363484161218e+02,2.595998267297e+02,1.442056456781e+02,8.436882660042e+01
6.043689866195e+02,1.424847513441e+03,1.039411763400e+03,4.363651966602e+02,2.596104063795e+02,1.442116480684e+02,8.437235990792e+01
6.196601806833e+02,1.424853508482e+03,1.039435034805e+03,4.363824006849e+02,2.596212531011e+02,1.442178019989e+02,8.437598242231e+01
6.353382586229e+02,1.424859654151e+03,1.039458892233e+03,4.364000388556e+02,2.596323736208e+02,1.442241112869e+02,8.437969639094e+01
6.514130090218e+02,1.424865954205e+03,1.039483350369e+03,4.364181220987e+02,2.596437748334e+02,1.442305798456e+02,8.438350411753e+01
6.678944681258e+02,1.424872412495e+03,1.039508424262e+03,4.364366616140e+02,2.596554638068e+02,1.442372116862e+02,8.438740796355e+01
6.847929261082e+02,1.424879032964e+03,1.039534129337e+03,4.364556688817e+02,2.596674477856e+02,1.442440109207e+02,8.439141034969e+01
7.021189334952e+02,1.424885819654e+03,1.039560481399e+03,4.364751556692e+02,2.596797341962e+02,1.442509817637e+02,8.439551375730e+01
7.198833077528e+02,1.424892776705e+03,1.039587496645e+03,4.364951340382e+02,2.596923306508e+02,1.442581285360e+02,8.439972072991e+01
7.380971400405e+02,1.424899908358e+03,1.039615191672e+03,4.365156163519e+02,2.597052449522e+02,1.442654556660e+02,8.440403387477e+01
7.567718021363e+02,1.424907218959e+03,1.039643583491e+03,4.365366152826e+02,2.597184850985e+02,1.442729676935e+02,8.440845586445e+01
7.759189535367e+02,1.424914712959e+03,1.039672689529e+03,4.365581438190e+02,2.597320592879e+02,1.442806692717e+02,8.441298943842e+01
7.955505487360e+02,1.424922394920e+03,1.039702527648e+03,4.365802152747e+02,2.597459759238e+02,1.442885651702e+02,8.441763740473e+01
