t_over_theta,r
1.012050602530e+00,5.206842447996e-01
1.014050702535e+00,5.195746060733e-01
1.016050802540e+00,5.190021262037e-01
1.018050902545e+00,5.189728364953e-01
1.020051002550e+00,5.194855146806e-01
1.022051102555e+00,5.205317619960e-01
1.024051202560e+00,5.220963618502e-01
1.026051302565e+00,5.241578895378e-01
1.028051402570e+00,5.266895230428e-01
1.030051502575e+00,5.296599927628e-01
1.032051602580e+00,5.330346034447e-01
1.034051702585e+00,5.367762646880e-01
1.036051802590e+00,5.408464752629e-01
1.038051902595e+00,5.452062189971e-01
1.040052002600e+00,5.498167439804e-01
1.042052102605e+00,5.546402102246e-01
1.044052202610e+00,5.596402023497e-01
1.046052302615e+00,5.647821129309e-01
1.048052402620e+00,5.700334082130e-01
1.050052502625e+00,5.753637913969e-01
1.052052602630e+00,5.807452805075e-01
1.054052702635e+00,5.861522174566e-01
1.056052802640e+00,5.915612240119e-01
1.058052902645e+00,5.969511185229e-01
1.060053002650e+00,6.023028052551e-01
1.062053102655e+00,6.075991460775e-01
1.064053202660e+00,6.128248222957e-01
1.066053302665e+00,6.179661926733e-01
1.068053402670e+00,6.230111521468e-01
1.070053502675e+00,6.279489944878e-01
1.072053602680e+00,6.327702812146e-01
1.074053702685e+00,6.374667181141e-01
1.076053802690e+00,6.420310402812e-01
1.078053902695e+00,6.464569059901e-01
1.080054002700e+00,6.507387994720e-01
1.082054102705e+00,6.548719423479e-01
1.084054202710e+00,6.588522133655e-01
1.086054302715e+00,6.626760760142e-01
1.088054402720e+00,6.663405134027e-01
1.090054502725e+00,6.698429698736e-01
1.092054602730e+00,6.731812989084e-01
1.094054702735e+00,6.763537166497e-01
1.096054802740e+00,6.793587604053e-01
1.098054902745e+00,6.821952520923e-01
1.100055002750e+00,6.848622659661e-01
1.102055102755e+00,6.873590998952e-01
1.104055202760e+00,6.896852495522e-01
1.106055302765e+00,6.918403868429e-01
1.108055402770e+00,6.938243405981e-01
1.110055502775e+00,6.956370794925e-01
1.112055602780e+00,6.972786975013e-01
1.114055702785e+00,6.987494014310e-01
1.116055802790e+00,7.000495003535e-01
1.118055902795e+00,7.011793966732e-01
1.120056002800e+00,7.021395785719e-01
1.122056102805e+00,7.029306142336e-01
1.124056202810e+00,7.035531473711e-01
1.126056302815e+00,7.040078937892e-01
1.128056402820e+00,7.042956392776e-01
1.130056502825e+00,7.044172386112e-01
1.132056602830e+00,7.043736156428e-01
1.134056702835e+00,7.041657644332e-01
1.136056802840e+00,7.037947513654e-01
1.138056902845e+00,7.032617183524e-01
1.140057002850e+00,7.025678870432e-01
1.142057102855e+00,7.017145640301e-01
1.144057202860e+00,7.007031471211e-01
1.146057302865e+00,6.995351326924e-01
1.148057402870e+00,6.982121241557e-01
1.150057502875e+00,6.967358415633e-01
1.152057602880e+00,6.951081324168e-01
1.154057702885e+00,6.933309837622e-01
1.156057802890e+00,6.914065356182e-01
1.158057902895e+00,6.893370957576e-01
1.160058002900e+00,6.871251559569e-01
1.162058102905e+00,6.847734098324e-01
1.164058202910e+00,6.822847723045e-01
1.166058302915e+00,6.796624007325e-01
1.168058402920e+00,6.769097177616e-01
1.170058502925e+00,6.740304359245e-01
1.172058602930e+00,6.710285841930e-01
1.174058702935e+00,6.679085366902e-01
1.176058802940e+00,6.646750427781e-01
1.178058902945e+00,6.613332593064e-01
1.180059002950e+00,6.578887845607e-01
1.182059102955e+00,6.543476938621e-01
1.184059202960e+00,6.507165765765e-01
1.186059302965e+00,6.470025742515e-01
1.188059402970e+00,6.432134194869e-01
1.190059502975e+00,6.393574749834e-01
1.192059602980e+00,6.354437721533e-01
1.194059702985e+00,6.314820483618e-01
1.196059802990e+00,6.274827818416e-01
1.198059902995e+00,6.234572229747e-01
1.200060003000e+00,6.194174205002e-01
1.202060103005e+00,6.153762408763e-01
1.204060203010e+00,6.113473788617e-01
1.206060303015e+00,6.073453570902e-01
1.208060403020e+00,6.033855122315e-01
1.210060503025e+00,5.994839651764e-01
1.212060603030e+00,5.956575726125e-01
1.214060703035e+00,5.919238573945e-01
1.216060803040e+00,5.883009153489e-01
1.218060903045e+00,5.848072964181e-01
1.220061003050e+00,5.814618588296e-01
1.222061103055e+00,5.782835955928e-01
1.224061203060e+00,5.752914339978e-01
1.226061303065e+00,5.725040095992e-01
1.228061403070e+00,5.699394184537e-01
1.230061503075e+00,5.676149521732e-01
1.232061603080e+00,5.655468225331e-01
1.234061703085e+00,5.637498837015e-01
1.236061803090e+00,5.622373613318e-01
1.238061903095e+00,5.610205986340e-01
1.240062003100e+00,5.601088296841e-01
1.242062103105e+00,5.595089897889e-01
1.244062203110e+00,5.592255716046e-01
1.246062303115e+00,5.592605337552e-01
1.248062403120e+00,5.596132664186e-01
1.250062503125e+00,5.602806155548e-01
1.252062603130e+00,5.612569644775e-01
1.254062703135e+00,5.625343687929e-01
1.256062803140e+00,5.641027381827e-01
1.258062903145e+00,5.659500566335e-01
1.260063003150e+00,5.680626314661e-01
1.262063103155e+00,5.704253609089e-01
1.264063203160e+00,5.730220101515e-01
1.266063303165e+00,5.758354864544e-01
1.268063403170e+00,5.788481051051e-01
1.270063503175e+00,5.820418394545e-01
1.272063603180e+00,5.853985498416e-01
1.274063703185e+00,5.889001879089e-01
1.276063803190e+00,5.925289742799e-01
1.278063903195e+00,5.962675488366e-01
1.280064003200e+00,6.000990941400e-01
1.282064103205e+00,6.040074331580e-01
1.284064203210e+00,6.079771033285e-01
1.286064303215e+00,6.119934091095e-01
1.288064403220e+00,6.160424557649e-01
1.290064503225e+00,6.201111668014e-01
1.292064603230e+00,6.241872877058e-01
1.294064703235e+00,6.282593783590e-01
