alpha,d_c_R2,d_c_R5,d_c_R10
6.522007154819e-04,1.039270417619e-01,1.208179084474e-01,1.302411426995e-01
6.700187503510e-04,1.038391155810e-01,1.205661852863e-01,1.297554692360e-01
6.883235715100e-04,1.037490162189e-01,1.203092085183e-01,1.292621276452e-01
7.071284778943e-04,1.036566959482e-01,1.200469064034e-01,1.287611072639e-01
7.264471317641e-04,1.035621063023e-01,1.197792079850e-01,1.282524019763e-01
7.462935686310e-04,1.034651980800e-01,1.195060431869e-01,1.277360103288e-01
7.666822074546e-04,1.033659213518e-01,1.192273429123e-01,1.272119356399e-01
7.876278611187e-04,1.032642254671e-01,1.189430391458e-01,1.266801861040e-01
8.091457471930e-04,1.031600590625e-01,1.186530650581e-01,1.261407748902e-01
8.312514989891e-04,1.030533700717e-01,1.183573551124e-01,1.255937202341e-01
8.539611769186e-04,1.029441057364e-01,1.180558451741e-01,1.250390455235e-01
8.772912801613e-04,1.028322126188e-01,1.177484726217e-01,1.244767793765e-01
9.012587586526e-04,1.027176366155e-01,1.174351764601e-01,1.239069557132e-01
9.258810253974e-04,1.026003229724e-01,1.171158974356e-01,1.233296138178e-01
9.511759691219e-04,1.024802163021e-01,1.167905781531e-01,1.227447983947e-01
9.771619672696e-04,1.023572606021e-01,1.164591631934e-01,1.221525596140e-01
1.003857899354e-03,1.022313992750e-01,1.161215992335e-01,1.215529531497e-01
1.031283160672e-03,1.021025751501e-01,1.157778351661e-01,1.209460402078e-01
1.059457676401e-03,1.019707305077e-01,1.154278222215e-01,1.203318875454e-01
1.088401916069e-03,1.018358071038e-01,1.150715140892e-01,1.197105674802e-01
1.118136908429e-03,1.016977461980e-01,1.147088670394e-01,1.190821578900e-01
1.148684256738e-03,1.015564885828e-01,1.143398400455e-01,1.184467422017e-01
1.180066154448e-03,1.014119746146e-01,1.139643949055e-01,1.178044093709e-01
1.212305401338e-03,1.012641442473e-01,1.135824963631e-01,1.171552538505e-01
1.245425420069e-03,1.011129370681e-01,1.131941122278e-01,1.164993755494e-01
1.279450273208e-03,1.009582923346e-01,1.127992134939e-01,1.158368797796e-01
1.314404680709e-03,1.008001490151e-01,1.123977744580e-01,1.151678771946e-01
1.350314037870e-03,1.006384458304e-01,1.119897728340e-01,1.144924837155e-01
1.387204433786e-03,1.004731212987e-01,1.115751898666e-01,1.138108204478e-01
1.425102670303e-03,1.003041137818e-01,1.111540104416e-01,1.131230135872e-01
1.464036281489e-03,1.001313615342e-01,1.107262231939e-01,1.124291943161e-01
1.504033553638e-03,9.995480275524e-02,1.102918206111e-01,1.117294986887e-01
1.545123545824e-03,9.977437564218e-02,1.098507991345e-01,1.110240675078e-01
1.587336111010e-03,9.959001844700e-02,1.094031592552e-01,1.103130461907e-01
1.630701917737e-03,9.940166953500e-02,1.089489056065e-01,1.095965846266e-01
1.675252472408e-03,9.920926744601e-02,1.084880470503e-01,1.088748370253e-01
1.721020142175e-03,9.901275095811e-02,1.080205967597e-01,1.081479617559e-01
1.768038178457e-03,9.881205915365e-02,1.075465722954e-01,1.074161211790e-01
1.816340741098e-03,9.860713148788e-02,1.070659956755e-01,1.066794814700e-01
1.865962923182e-03,9.839790785979e-02,1.065788934408e-01,1.059382124353e-01
1.916940776533e-03,9.818432868554e-02,1.060852967118e-01,1.051924873216e-01
1.969311337907e-03,9.796633497406e-02,1.055852412397e-01,1.044424826189e-01
2.023112655897e-03,9.774386840504e-02,1.050787674503e-01,1.036883778579e-01
2.078383818580e-03,9.751687140918e-02,1.045659204800e-01,1.029303554012e-01
2.135164981911e-03,9.728528725050e-02,1.040467502042e-01,1.021686002304e-01
2.193497398905e-03,9.704906011093e-02,1.035213112579e-01,1.014032997294e-01
2.253423449600e-03,9.680813517674e-02,1.029896630481e-01,1.006346434628e-01
2.314986671851e-03,9.656245872702e-02,1.024518697575e-01,9.986282295270e-02
2.378231792964e-03,9.631197822391e-02,1.019080003396e-01,9.908803145200e-02
2.443204762186e-03,9.605664240451e-02,1.013581285060e-01,9.831046371650e-02
2.509952784094e-03,9.579640137445e-02,1.008023327032e-01,9.753031577560e-02
2.578524352884e-03,9.553120670277e-02,1.002406960821e-01,9.674778470232e-02
2.648969287611e-03,9.526101151813e-02,9.967330645753e-02,9.596306838346e-02
2.721338768375e-03,9.498577060615e-02,9.910025625896e-02,9.517636529024e-02
2.795685373515e-03,9.470544050762e-02,9.852164247231e-02,9.438787425014e-02
2.872063117798e-03,9.441997961751e-02,9.793756657261e-02,9.359779422045e-02
2.950527491670e-03,9.412934828448e-02,9.734813444790e-02,9.280632406413e-02
3.031135501568e-03,9.383350891080e-02,9.675345631412e-02,9.201366232845e-02
3.113945711336e-03,9.353242605227e-02,9.615364662140e-02,9.122000702704e-02
3.199018284775e-03,9.322606651813e-02,9.554882395182e-02,9.042555542565e-02
3.286415029354e-03,9.291439947057e-02,9.493911090880e-02,8.963050383234e-02
3.376199441111e-03,9.259739652358e-02,9.432463399836e-02,8.883504739236e-02
3.468436750790e-03,9.227503184106e-02,9.370552350260e-02,8.803937988817e-02
3.563193971229e-03,9.194728223363e-02,9.308191334556e-02,8.724369354512e-02
3.660539946045e-03,9.161412725414e-02,9.245394095185e-02,8.644817884298e-02
3.760545399658e-03,9.127554929143e-02,9.182174709840e-02,8.565302433381e-02
3.863282988666e-03,9.093153366212e-02,9.118547575966e-02,8.485841646633e-02
3.968827354637e-03,9.058206870006e-02,9.054527394668e-02,8.406453941726e-02
4.077255178336e-03,9.022714584332e-02,8.990129154049e-02,8.327157492969e-02
4.188645235435e-03,8.986675971815e-02,8.925368112016e-02,8.247970215876e-02
4.303078453749e-03,8.950090821984e-02,8.860259778607e-02,8.168909752496e-02
4.420637972029e-03,8.912959259008e-02,8.794819897886e-02,8.089993457495e-02
