t_over_theta,r
4.680234011701e+00,9.698011627001e-01
4.690234511726e+00,9.738570413294e-01
4.700235011751e+00,9.778841164760e-01
4.710235511776e+00,9.818822140121e-01
4.720236011801e+00,9.858511794823e-01
4.730236511826e+00,9.897908769019e-01
4.740237011851e+00,9.937011876227e-01
4.750237511876e+00,9.975820092630e-01
4.760238011901e+00,1.001433254698e+00
4.770238511926e+00,1.005254851107e+00
4.780239011951e+00,1.009046739077e+00
4.790239511976e+00,1.012808871752e+00
4.800240012001e+00,1.016541214039e+00
4.810240512026e+00,1.020243741850e+00
4.820241012051e+00,1.023916441394e+00
4.830241512076e+00,1.027559308509e+00
4.840242012101e+00,1.031172348024e+00
4.850242512126e+00,1.034755573173e+00
4.860243012151e+00,1.038309005026e+00
4.870243512176e+00,1.041832671964e+00
4.880244012201e+00,1.045326609179e+00
4.890244512226e+00,1.048790858207e+00
4.900245012251e+00,1.052225466478e+00
4.910245512276e+00,1.055630486908e+00
4.920246012301e+00,1.059005977496e+00
4.930246512326e+00,1.062352000962e+00
4.940247012351e+00,1.065668624390e+00
4.950247512376e+00,1.068955918906e+00
4.960248012401e+00,1.072213959361e+00
4.970248512426e+00,1.075442824042e+00
4.980249012451e+00,1.078642594400e+00
4.990249512476e+00,1.081813354783e+00
5.000250012501e+00,1.084955192198e+00
5.010250512526e+00,1.088068196080e+00
5.020251012551e+00,1.091152458071e+00
5.030251512576e+00,1.094208071822e+00
5.040252012601e+00,1.097235132796e+00
5.050252512626e+00,1.100233738090e+00
5.060253012651e+00,1.103203986265e+00
5.070253512676e+00,1.106145977182e+00
5.080254012701e+00,1.109059811856e+00
5.090254512726e+00,1.111945592311e+00
5.100255012751e+00,1.114803421448e+00
5.110255512776e+00,1.117633402917e+00
5.120256012801e+00,1.120435641005e+00
5.130256512826e+00,1.123210240517e+00
5.140257012851e+00,1.125957306677e+00
5.150257512876e+00,1.128676945031e+00
5.160258012901e+00,1.131369261350e+00
5.170258512926e+00,1.134034361546e+00
5.180259012951e+00,1.136672351594e+00
5.190259512976e+00,1.139283337452e+00
5.200260013001e+00,1.141867424989e+00
5.210260513026e+00,1.144424719922e+00
5.220261013051e+00,1.146955327750e+00
5.230261513076e+00,1.149459353698e+00
5.240262013101e+00,1.151936902658e+00
5.250262513126e+00,1.154388079142e+00
5.260263013151e+00,1.156812987231e+00
5.270263513176e+00,1.159211730530e+00
5.280264013201e+00,1.161584412128e+00
5.290264513226e+00,1.163931134559e+00
5.300265013251e+00,1.166251999761e+00
5.310265513276e+00,1.168547109048e+00
5.320266013301e+00,1.170816563074e+00
5.330266513326e+00,1.173060461807e+00
5.340267013351e+00,1.175278904497e+00
5.350267513376e+00,1.177471989657e+00
5.360268013401e+00,1.179639815033e+00
5.370268513426e+00,1.181782477588e+00
5.380269013451e+00,1.183900073476e+00
5.390269513476e+00,1.185992698032e+00
