alpha,p_star_Pa,R_star_W0.25,R_star_W1,R_star_W4
3.646472223213e-05,8.409983232487e+04,1.864617874569e+02,2.959896375610e+02,4.698542620360e+02
3.746093348551e-05,8.639751438249e+04,1.820666689037e+02,2.890128217460e+02,4.587792572719e+02
3.848436109487e-05,8.875797356896e+04,1.777751440621e+02,2.822004506980e+02,4.479652923039e+02
3.953574860738e-05,9.118292521097e+04,1.735847711971e+02,2.755486484039e+02,4.374062143447e+02
4.061585988377e-05,9.367413151234e+04,1.694931661258e+02,2.690536302095e+02,4.270960156304e+02
4.172547965337e-05,9.623340283548e+04,1.654980008613e+02,2.627117006659e+02,4.170288300015e+02
4.286541408421e-05,9.886259901795e+04,1.615970022882e+02,2.565192514271e+02,4.071989295655e+02
4.403649136870e-05,1.015636307250e+05,1.577879508686e+02,2.504727591968e+02,3.976007214383e+02
4.523956232538e-05,1.043384608392e+05,1.540686793803e+02,2.445687837236e+02,3.882287445615e+02
4.647550101702e-05,1.071891058879e+05,1.504370716827e+02,2.388039658442e+02,3.790776665952e+02
4.774520538566e-05,1.101176375099e+05,1.468910615135e+02,2.331750255713e+02,3.701422808846e+02
4.904959790502e-05,1.131261839623e+05,1.434286313127e+02,2.276787602282e+02,3.614175034971e+02
5.038962625065e-05,1.162169316683e+05,1.400478110748e+02,2.223120426260e+02,3.528983703298e+02
5.176626398849e-05,1.193921268078e+05,1.367466772279e+02,2.170718192847e+02,3.445800342852e+02
5.318051128214e-05,1.226540769510e+05,1.335233515391e+02,2.119551086955e+02,3.364577625132e+02
5.463339561957e-05,1.260051527370e+05,1.303760000462e+02,2.069589996247e+02,3.285269337185e+02
5.612597255955e-05,1.294477895985e+05,1.273028320138e+02,2.020806494572e+02,3.207830355308e+02
5.765932649859e-05,1.329844895335e+05,1.243020989148e+02,1.973172825793e+02,3.132216619378e+02
5.923457145876e-05,1.366178229250e+05,1.213720934354e+02,1.926661887990e+02,3.058385107782e+02
6.085285189706e-05,1.403504304115e+05,1.185111485036e+02,1.881247218045e+02,2.986293812937e+02
6.251534353690e-05,1.441850248083e+05,1.157176363406e+02,1.836902976584e+02,2.915901717393e+02
6.422325422229e-05,1.481243930807e+05,1.129899675352e+02,1.793603933272e+02,2.847168770491e+02
6.597782479540e-05,1.521713983722e+05,1.103265901387e+02,1.751325452463e+02,2.780055865578e+02
6.778032999799e-05,1.563289820879e+05,1.077259887825e+02,1.710043479177e+02,2.714524817757e+02
6.963207939764e-05,1.606001660343e+05,1.051866838156e+02,1.669734525419e+02,2.650538342158e+02
7.153441833911e-05,1.649880546191e+05,1.027072304627e+02,1.630375656813e+02,2.588060032728e+02
7.348872892180e-05,1.694958371095e+05,1.002862180025e+02,1.591944479551e+02,2.527054341514e+02
7.549643100390e-05,1.741267899539e+05,9.792226896454e+01,1.554419127654e+02,2.467486558438e+02
7.755898323389e-05,1.788842791660e+05,9.561403834589e+01,1.517778250532e+02,2.409322791549e+02
7.967788411037e-05,1.837717627748e+05,9.336021284567e+01,1.482001000832e+02,2.352529947739e+02
8.185467307069e-05,1.887927933417e+05,9.115951011790e+01,1.447067022581e+02,2.297075713913e+02
8.409093160944e-05,1.939510205463e+05,8.901067804182e+01,1.412956439600e+02,2.242928538606e+02
8.638828442740e-05,1.992501938431e+05,8.691249400955e+01,1.379649844199e+02,2.190057614030e+02
8.874840061199e-05,2.046941651912e+05,8.486376423040e+01,1.347128286133e+02,2.138432858544e+02
9.117299484985e-05,2.102868918582e+05,8.286332305168e+01,1.315373261818e+02,2.088024899541e+02
9.366382867262e-05,2.160324393016e+05,8.091003229545e+01,1.284366703806e+02,2.038805056734e+02
9.622271173675e-05,2.219349841289e+05,7.900278061096e+01,1.254090970503e+02,1.990745325840e+02
9.885150313827e-05,2.279988171384e+05,7.714048284231e+01,1.224528836132e+02,1.943818362642e+02
1.015521127635e-04,2.342283464442e+05,7.532207941103e+01,1.195663480935e+02,1.897997467436e+02
1.043265026764e-04,2.406281006857e+05,7.354653571320e+01,1.167478481597e+02,1.853256569838e+02
1.071766885446e-04,2.472027323261e+05,7.181284153083e+01,1.139957801909e+02,1.809570213949e+02
1.101047411031e-04,2.539570210410e+05,7.012001045703e+01,1.113085783635e+02,1.766913543873e+02
1.131127876594e-04,2.608958771994e+05,6.846707933483e+01,1.086847137613e+02,1.725262289576e+02
1.162030136386e-04,2.680243454408e+05,6.685310770911e+01,1.061226935048e+02,1.684592753072e+02
1.193776641714e-04,2.753476083497e+05,6.527717729157e+01,1.036210599021e+02,1.644881794947e+02
1.226390457252e-04,2.828709902320e+05,6.373839143819e+01,1.011783896197e+02,1.606106821188e+02
1.259895277795e-04,2.905999609933e+05,6.223587463914e+01,9.879329287234e+01,1.568245770329e+02
1.294315445480e-04,2.985401401253e+05,6.076877202058e+01,9.646441263229e+01,1.531277100900e+02
1.329675967466e-04,3.066973007999e+05,5.933624885830e+01,9.419042385751e+01,1.495179779167e+02
1.366002534105e-04,3.150773740771e+05,5.793749010275e+01,9.197003273750e+01,1.459933267171e+02
1.403321537605e-04,3.236864532274e+05,5.657169991536e+01,8.980197595727e+01,1.425517511034e+02
1.441660091207e-04,3.325307981728e+05,5.523810121568e+01,8.768501997850e+01,1.391912929557e+02
