t_over_theta,r
3.908995449772e+00,9.228955387550e-01
3.909395469773e+00,9.229207024831e-01
3.909795489774e+00,9.229458625891e-01
3.910195509775e+00,9.229710190674e-01
3.910595529776e+00,9.229961719114e-01
3.910995549777e+00,9.230213211137e-01
3.911395569778e+00,9.230464666663e-01
3.911795589779e+00,9.230716085605e-01
3.912195609780e+00,9.230967467867e-01
3.912595629781e+00,9.231218813346e-01
3.912995649782e+00,9.231470121935e-01
3.913395669783e+00,9.231721393515e-01
3.913795689784e+00,9.231972627963e-01
3.914195709785e+00,9.232223825149e-01
3.914595729786e+00,9.232474984933e-01
3.914995749787e+00,9.232726107173e-01
3.915395769788e+00,9.232977191714e-01
3.915795789789e+00,9.233228238399e-01
3.916195809790e+00,9.233479247063e-01
3.916595829791e+00,9.233730217531e-01
3.916995849792e+00,9.233981149626e-01
3.917395869793e+00,9.234232043161e-01
3.917795889794e+00,9.234482897944e-01
3.918195909795e+00,9.234733713775e-01
3.918595929796e+00,9.234984490449e-01
3.918995949797e+00,9.235235227752e-01
3.919395969798e+00,9.235485925468e-01
3.919795989799e+00,9.235736583370e-01
3.920196009800e+00,9.235987201227e-01
3.920596029801e+00,9.236237778802e-01
3.920996049802e+00,9.236488315850e-01
3.921396069803e+00,9.236738812122e-01
3.921796089804e+00,9.236989267363e-01
3.922196109805e+00,9.237239681311e-01
3.922596129806e+00,9.237490053698e-01
3.922996149807e+00,9.237740384250e-01
3.923396169808e+00,9.237990672690e-01
3.923796189809e+00,9.238240918731e-01
3.924196209810e+00,9.238491122084e-01
3.924596229811e+00,9.238741282453e-01
3.924996249812e+00,9.238991399537e-01
3.925396269813e+00,9.239241473030e-01
3.925796289814e+00,9.239491502620e-01
3.926196309815e+00,9.239741487991e-01
3.926596329816e+00,9.239991428820e-01
3.926996349817e+00,9.240241324781e-01
3.927396369818e+00,9.240491175543e-01
3.927796389819e+00,9.240740980769e-01
3.928196409820e+00,9.240990740119e-01
3.928596429821e+00,9.241240453246e-01
3.928996449822e+00,9.241490119800e-01
3.929396469823e+00,9.241739739428e-01
3.929796489824e+00,9.241989311769e-01
3.930196509825e+00,9.242238836462e-01
3.930596529826e+00,9.242488313140e-01
3.930996549827e+00,9.242737741430e-01
3.931396569828e+00,9.242987120959e-01
3.931796589829e+00,9.243236451348e-01
3.932196609830e+00,9.243485732213e-01
3.932596629831e+00,9.243734963170e-01
3.932996649832e+00,9.243984143829e-01
3.933396669833e+00,9.244233273797e-01
3.933796689834e+00,9.244482352678e-01
3.934196709835e+00,9.244731380072e-01
3.934596729836e+00,9.244980355578e-01
3.934996749837e+00,9.245229278790e-01
3.935396769838e+00,9.245478149301e-01
3.935796789839e+00,9.245726966699e-01
3.936196809840e+00,9.245975730571e-01
3.936596829841e+00,9.246224440501e-01
3.936996849842e+00,9.246473096071e-01
3.937396869843e+00,9.246721696861e-01
3.937796889844e+00,9.246970242446e-01
3.938196909845e+00,9.247218732403e-01
3.938596929846e+00,9.247467166304e-01
3.938996949847e+00,9.247715543721e-01
3.939396969848e+00,9.247963864222e-01
3.939796989849e+00,9.248212127376e-01
3.940197009850e+00,9.248460332748e-01
3.940597029851e+00,9.248708479905e-01
3.940997049852e+00,9.248956568410e-01
3.941397069853e+00,9.249204597826e-01
3.941797089854e+00,9.249452567713e-01
3.942197109855e+00,9.249700477634e-01
3.942597129856e+00,9.249948327148e-01
3.942997149857e+00,9.250196115814e-01
3.943397169858e+00,9.250443843190e-01
3.943797189859e+00,9.250691508835e-01
3.944197209860e+00,9.250939112307e-01
3.944597229861e+00,9.251186653163e-01
3.944997249862e+00,9.251434130961e-01
3.945397269863e+00,9.251681545257e-01
3.945797289864e+00,9.251928895611e-01
3.946197309865e+00,9.252176181579e-01
3.946597329866e+00,9.252423402719e-01
3.946997349867e+00,9.252670558589e-01
3.947397369868e+00,9.252917648750e-01
3.947797389869e+00,9.253164672761e-01
3.948197409870e+00,9.253411630181e-01
3.948597429871e+00,9.253658520573e-01
3.948997449872e+00,9.253905343499e-01
3.949397469873e+00,9.254152098523e-01
3.949797489874e+00,9.254398785209e-01
3.950197509875e+00,9.254645403124e-01
3.950597529876e+00,9.254891951835e-01
3.950997549877e+00,9.255138430911e-01
3.951397569878e+00,9.255384839925e-01
3.951797589879e+00,9.255631178448e-01
3.952197609880e+00,9.255877446055e-01
3.952597629881e+00,9.256123642323e-01
3.952997649882e+00,9.256369766831e-01
3.953397669883e+00,9.256615819161e-01
3.953797689884e+00,9.256861798895e-01
3.954197709885e+00,9.257107705621e-01
3.954597729886e+00,9.257353538925e-01
3.954997749887e+00,9.257599298401e-01
3.955397769888e+00,9.257844983641e-01
3.955797789889e+00,9.258090594243e-01
3.956197809890e+00,9.258336129806e-01
3.956597829891e+00,9.258581589933e-01
3.956997849892e+00,9.258826974230e-01
3.957397869893e+00,9.259072282305e-01
3.957797889894e+00,9.259317513771e-01
3.958197909895e+00,9.259562668243e-01
3.958597929896e+00,9.259807745341e-01
3.958997949897e+00,9.260052744686e-01
3.959397969898e+00,9.260297665908e-01
3.959797989899e+00,9.260542508636e-01
3.960198009900e+00,9.260787272506e-01
3.960598029901e+00,9.261031957157e-01
3.960998049902e+00,9.261276562231e-01
3.961398069903e+00,9.261521087375e-01
3.961798089904e+00,9.261765532241e-01
3.962198109905e+00,9.262009896485e-01
3.962598129906e+00,9.262254179766e-01
3.962998149907e+00,9.262498381751e-01
3.963398169908e+00,9.262742502107e-01
3.963798189909e+00,9.262986540509e-01
3.964198209910e+00,9.263230496636e-01
3.964598229911e+00,9.263474370171e-01
3.964998249912e+00,9.263718160804e-01
3.965398269913e+00,9.263961868228e-01
3.965798289914e+00,9.264205492142e-01
3.966198309915e+00,9.264449032249e-01
