R_m,alpha,tension_Pa,compression_Pa
1.532780054486e+01,1.552062089131e-05,0.000000000000e+00,3.608884919571e+06
1.616552715688e+01,1.552062089131e-05,0.000000000000e+00,3.397963136517e+06
1.704903893387e+01,1.552062089131e-05,0.000000000000e+00,3.199354112620e+06
1.798083822122e+01,1.552062089131e-05,0.000000000000e+00,3.012339417282e+06
1.896356412767e+01,1.552062089131e-05,0.000000000000e+00,2.836242547800e+06
2.000000000000e+01,1.552062089131e-05,0.000000000000e+00,2.670426482280e+06
7.000000000000e-01,1.796989148533e-05,1.422639434968e+07,1.182226592023e+08
7.382578457164e-01,1.796989148533e-05,1.291877182327e+07,1.113229193243e+08
7.786066382311e-01,1.796989148533e-05,1.171578410775e+07,1.048258372234e+08
8.211606562871e-01,1.796989148533e-05,1.060969974401e+07,9.870791447914e+07
8.660404244251e-01,1.796989148533e-05,9.593327875497e+06,9.294702400055e+07
9.133730543420e-01,1.796989148533e-05,8.659982056021e+06,8.752232999784e+07
9.632926049056e-01,1.796989148533e-05,7.803446391159e+06,8.241421262413e+07
1.015940461846e+00,1.796989148533e-05,7.017943867911e+06,7.760419701510e+07
1.071465738198e+00,1.796989148533e-05,6.298106736009e+06,7.307488646976e+07
1.130025696630e+00,1.796989148533e-05,5.638948812574e+06,6.880989953066e+07
1.191786194854e+00,1.796989148533e-05,5.035839589514e+06,6.479381073600e+07
1.256922155382e+00,1.796989148533e-05,4.484480030433e+06,6.101209482936e+07
1.325618060951e+00,1.796989148533e-05,3.980879950637e+06,5.745107422525e+07
1.398068477029e+00,1.796989148533e-05,3.521336880352e+06,5.409786954049e+07
1.474478602879e+00,1.796989148533e-05,3.102416317330e+06,5.094035301248e+07
1.555064852738e+00,1.796989148533e-05,2.720933280765e+06,4.796710463595e+07
1.640055468759e+00,1.796989148533e-05,2.373935083832e+06,4.516737085944e+07
1.729691167460e+00,1.796989148533e-05,2.058685247245e+06,4.253102569223e+07
1.824225821491e+00,1.796989148533e-05,1.772648480998e+06,4.004853408097e+07
1.923927178677e+00,1.796989148533e-05,1.513476665944e+06,3.771091742362e+07
2.029077620350e+00,1.796989148533e-05,1.278995771090e+06,3.550972109597e+07
2.139974961130e+00,1.796989148533e-05,1.067193646457e+06,3.343698387313e+07
2.256933292416e+00,1.796989148533e-05,8.762086350900e+05,3.148520913573e+07
2.380283871978e+00,1.796989148533e-05,7.043189513049e+05,2.964733775629e+07
2.510376062171e+00,1.796989148533e-05,5.499327755641e+05,2.791672256804e+07
2.647578319423e+00,1.796989148533e-05,4.115790194670e+05,2.628710432359e+07
2.792279237804e+00,1.796989148533e-05,2.878987172586e+05,2.475258905670e+07
2.944888649628e+00,1.796989148533e-05,1.776370029917e+05,2.330762676513e+07
3.105838786213e+00,1.796989148533e-05,7.963563505255e+04,2.194699133754e+07
3.275585502074e+00,1.796989148533e-05,7.835359929746e+02,2.066576165184e+07
3.454609566030e+00,1.796989148533e-05,0.000000000000e+00,1.945930377656e+07
3.643418022870e+00,1.796989148533e-05,0.000000000000e+00,1.832325421096e+07
3.842545629440e+00,1.796989148533e-05,0.000000000000e+00,1.725350410323e+07
4.052556369225e+00,1.796989148533e-05,0.000000000000e+00,1.624618438967e+07
4.274045049697e+00,1.796989148533e-05,0.000000000000e+00,1.529765180110e+07
4.507638986977e+00,1.796989148533e-05,0.000000000000e+00,1.440447568595e+07
4.753999782561e+00,1.796989148533e-05,0.000000000000e+00,1.356342560234e+07
5.013825197157e+00,1.796989148533e-05,0.000000000000e+00,1.277145963419e+07
5.287851126931e+00,1.796989148533e-05,0.000000000000e+00,1.202571338930e+07
5.576853687767e+00,1.796989148533e-05,0.000000000000e+00,1.132348963936e+07
5.881651413438e+00,1.796989148533e-05,0.000000000000e+00,1.066224856463e+07
6.203107573913e+00,1.796989148533e-05,0.000000000000e+00,1.003959856792e+07
6.542132620377e+00,1.796989148533e-05,0.000000000000e+00,9.453287624560e+06
6.899686763872e+00,1.796989148533e-05,0.000000000000e+00,8.901195137306e+06
7.276782694877e+00,1.796989148533e-05,0.000000000000e+00,8.381324266445e+06
7.674488451523e+00,1.796989148533e-05,0.000000000000e+00,7.891794707580e+06
8.093930444567e+00,1.796989148533e-05,0.000000000000e+00,7.430835890847e+06
8.536296647692e+00,1.796989148533e-05,0.000000000000e+00,6.996780577019e+06
9.002839962173e+00,1.796989148533e-05,0.000000000000e+00,6.588058827320e+06
